

+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
| INDEX | STATUS |  MID  |      MALWARE       | ALIASES | PLATFORMS |       TACTICS        | TECHNIQUES |  ADVERSARIES  |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   1   | Active | S0584 | applejeus          | none    | windows   | command-and-control  |   T1027    | lazarus-group |
|       |        |       |                    |         | macos     | defense-evasion      |   T1041    |               |
|       |        |       |                    |         |           | discovery            | T1053.005  |               |
|       |        |       |                    |         |           | execution            | T1059.004  |               |
|       |        |       |                    |         |           | exfiltration         | T1070.004  |               |
|       |        |       |                    |         |           | initial-access       | T1071.001  |               |
|       |        |       |                    |         |           | persistence          |   T1082    |               |
|       |        |       |                    |         |           | privilege-escalation |   T1140    |               |
|       |        |       |                    |         |           |                      | T1204.001  |               |
|       |        |       |                    |         |           |                      | T1204.002  |               |
|       |        |       |                    |         |           |                      | T1218.007  |               |
|       |        |       |                    |         |           |                      | T1497.003  |               |
|       |        |       |                    |         |           |                      | T1543.003  |               |
|       |        |       |                    |         |           |                      | T1543.004  |               |
|       |        |       |                    |         |           |                      | T1546.016  |               |
|       |        |       |                    |         |           |                      | T1548.002  |               |
|       |        |       |                    |         |           |                      | T1553.002  |               |
|       |        |       |                    |         |           |                      | T1564.001  |               |
|       |        |       |                    |         |           |                      | T1566.002  |               |
|       |        |       |                    |         |           |                      | T1569.001  |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   2   | Active | S0347 | auditcred          | none    | windows   | command-and-control  |   T1027    | lazarus-group |
|       |        |       |                    |         |           | defense-evasion      |   T1055    |               |
|       |        |       |                    |         |           | discovery            | T1059.003  |               |
|       |        |       |                    |         |           | execution            | T1070.004  |               |
|       |        |       |                    |         |           | persistence          |   T1083    |               |
|       |        |       |                    |         |           | privilege-escalation |   T1090    |               |
|       |        |       |                    |         |           |                      |   T1105    |               |
|       |        |       |                    |         |           |                      |   T1140    |               |
|       |        |       |                    |         |           |                      | T1543.003  |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   3   | Active | S0245 | badcall            | none    | windows   | command-and-control  | T1001.003  | lazarus-group |
|       |        |       |                    |         |           | defense-evasion      |   T1016    |               |
|       |        |       |                    |         |           | discovery            |   T1082    |               |
|       |        |       |                    |         |           |                      |   T1090    |               |
|       |        |       |                    |         |           |                      |   T1112    |               |
|       |        |       |                    |         |           |                      | T1562.004  |               |
|       |        |       |                    |         |           |                      |   T1571    |               |
|       |        |       |                    |         |           |                      | T1573.001  |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   4   | Active | S0239 | bankshot           | none    | windows   | collection           | T1001.003  | lazarus-group |
|       |        |       |                    |         |           | command-and-control  |   T1005    |               |
|       |        |       |                    |         |           | defense-evasion      |   T1012    |               |
|       |        |       |                    |         |           | discovery            |   T1041    |               |
|       |        |       |                    |         |           | execution            |   T1057    |               |
|       |        |       |                    |         |           | exfiltration         | T1059.003  |               |
|       |        |       |                    |         |           | persistence          |   T1070    |               |
|       |        |       |                    |         |           | privilege-escalation | T1070.004  |               |
|       |        |       |                    |         |           |                      | T1070.006  |               |
|       |        |       |                    |         |           |                      | T1071.001  |               |
|       |        |       |                    |         |           |                      |   T1082    |               |
|       |        |       |                    |         |           |                      |   T1083    |               |
|       |        |       |                    |         |           |                      | T1087.001  |               |
|       |        |       |                    |         |           |                      | T1087.002  |               |
|       |        |       |                    |         |           |                      |   T1105    |               |
|       |        |       |                    |         |           |                      |   T1106    |               |
|       |        |       |                    |         |           |                      |   T1112    |               |
|       |        |       |                    |         |           |                      |   T1119    |               |
|       |        |       |                    |         |           |                      | T1132.002  |               |
|       |        |       |                    |         |           |                      | T1134.002  |               |
|       |        |       |                    |         |           |                      |   T1140    |               |
|       |        |       |                    |         |           |                      |   T1203    |               |
|       |        |       |                    |         |           |                      | T1543.003  |               |
|       |        |       |                    |         |           |                      |   T1571    |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   5   | Active | S0520 | blindingcan        | none    | windows   | collection           |   T1005    | lazarus-group |
|       |        |       |                    |         |           | command-and-control  |   T1016    |               |
|       |        |       |                    |         |           | defense-evasion      |   T1027    |               |
|       |        |       |                    |         |           | discovery            | T1027.002  |               |
|       |        |       |                    |         |           | execution            | T1036.005  |               |
|       |        |       |                    |         |           | exfiltration         |   T1041    |               |
|       |        |       |                    |         |           | initial-access       | T1059.003  |               |
|       |        |       |                    |         |           |                      | T1070.004  |               |
|       |        |       |                    |         |           |                      | T1070.006  |               |
|       |        |       |                    |         |           |                      | T1071.001  |               |
|       |        |       |                    |         |           |                      |   T1082    |               |
|       |        |       |                    |         |           |                      |   T1083    |               |
|       |        |       |                    |         |           |                      |   T1105    |               |
|       |        |       |                    |         |           |                      |   T1129    |               |
|       |        |       |                    |         |           |                      | T1132.001  |               |
|       |        |       |                    |         |           |                      |   T1140    |               |
|       |        |       |                    |         |           |                      | T1204.002  |               |
|       |        |       |                    |         |           |                      | T1218.011  |               |
|       |        |       |                    |         |           |                      | T1553.002  |               |
|       |        |       |                    |         |           |                      | T1566.001  |               |
|       |        |       |                    |         |           |                      | T1573.001  |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
|   6   | Active | S0498 | cryptoistic        | none    | macos     | collection           |   T1005    | lazarus-group |
|       |        |       |                    |         |           | command-and-control  |   T1033    |               |
|       |        |       |                    |         |           | defense-evasion      | T1070.004  |               |
|       |        |       |                    |         |           | discovery            |   T1083    |               |
|       |        |       |                    |         |           |                      |   T1095    |               |
|       |        |       |                    |         |           |                      |   T1105    |               |
|       |        |       |                    |         |           |                      |   T1573    |               |
+-------+--------+-------+--------------------+---------+-----------+----------------------+------------+---------------+
